customer_id,total_spent
17884.0,3072.89
14285.0,3284.42
16596.0,579.63
16822.0,181.39
16656.0,16833.17
17032.0,3004.6000000000004
16858.0,4668.280000000001
15311.0,116771.15999999999
15750.0,6797.191000000001
14123.0,436.17999999999995
16353.0,9999.46
14211.0,4402.29
15898.0,5596.310000000004
17825.0,731.96
16600.0,2153.41
12609.0,3435.8599999999997
14064.0,3332.4199999999996
15413.0,6798.72
17063.0,3638.5299999999997
17343.0,1259.9399999999998
14955.0,163.76999999999998
15953.0,3669.55
12600.0,5043.92
15823.0,3897.1700000000005
17675.0,38259.600000000006
16222.0,1345.2200000000007
13871.0,7885.849999999999
13929.0,3494.0999999999995
14478.0,1276.66
16550.0,9435.13
15674.0,6948.2300000000005
14171.0,498.78999999999996
17400.0,4677.049999999999
15428.0,762.75
15100.0,2894.7
15910.0,2681.7999999999997
14640.0,3667.0600000000004
13577.0,3489.2800000000007
15498.0,26039.58
18251.0,26278.86
17465.0,2542.7900000000004
13154.0,1624.8400000000001
16192.0,351.3
16746.0,18066.4
17270.0,604.4000000000001
13770.0,785.3699999999999
16694.0,98.30000000000001
17193.0,2310.04
16945.0,8548.16
12487.0,285.29999999999995
13825.0,255.59000000000003
17262.0,2757.6200000000003
16150.0,4395.59
15521.0,7106.6900000000005
13634.0,5073.47
17320.0,2895.77
13648.0,1764.02
18001.0,953.84
12471.0,39963.79000000001
12978.0,2502.8199999999997
16985.0,10923.16
14095.0,2.95
13259.0,1433.3799999999994
15303.0,1224.1799999999998
13979.0,3416.2299999999996
12583.0,14447.439999999999
18077.0,4338.56
15291.0,13846.560000000001
13037.0,3914.9500000000003
16773.0,421.24
15642.0,105.78000000000003
12842.0,1917.99
12437.0,12683.399999999998
18092.0,16179.44
13026.0,1733.0800000000002
17211.0,4046.65
14484.0,1070.98
13427.0,1006.5300000000001
14105.0,5988.830000000001
17949.0,118628.08000000002
17764.0,1623.64
14648.0,4546.8600000000015
16365.0,3307.2
16127.0,801.3100000000001
16434.0,2741.74
13543.0,1439.6100000000001
14302.0,742.9000000000001
16779.0,33268.24
13081.0,59205.149999999965
17487.0,160.54999999999998
13995.0,3902.0099999999993
17962.0,687.4199999999998
12636.0,141.0
16620.0,1758.93
16156.0,6218.18
14710.0,1922.5899999999997
18219.0,3562.8900000000003
13902.0,34095.26
12703.0,1006.5299999999999
15711.0,420.25
13089.0,116737.86
13206.0,8377.32
12854.0,2994.0199999999995
13403.0,229.5
17218.0,4192.68
14654.0,246.86
14771.0,594.62
13931.0,5257.380000000002
16497.0,6695.279999999999
16124.0,1772.49
17592.0,148.3
13679.0,281.2600000000001
17858.0,12797.649999999998
13204.0,966.66
13767.0,35540.530000000006
14865.0,129.72
14000.0,2046.3400000000001
13485.0,3019.2200000000003
13329.0,5112.970000000001
18134.0,445.0
15691.0,571.3
15865.0,2248.92
15615.0,21373.969999999998
17150.0,1375.65
13890.0,2927.38
